id sex weight height repwt repht
1 1 77 182 77 180
2 0 58 161 51 159
3 0 53 161 54 158
4 1 68 177 70 175
5 0 59 157 59 155
6 1 76 170 76 165
7 1 76 167 77 165
8 1 69 186 73 180
9 1 71 178 71 175
10 1 65 171 64 170
11 1 70 175 75 174
12 0 166 57 56 163
13 0 51 161 52 158
14 0 64 168 64 165
15 0 52 163 57 160
16 0 65 166 66 165
17 1 92 187 101 185
18 0 62 168 62 165
19 1 76 197 75 200
20 0 61 175 61 171
21 1 119 180 124 178
22 0 61 170 61 170
23 1 65 175 66 173
24 1 66 173 70 170
25 0 54 171 59 168
26 0 50 166 50 165
27 0 63 169 61 168
28 0 58 166 60 160
29 0 39 157 41 153
30 1 101 183 100 180
31 0 71 166 71 165
32 1 75 178 73 175
33 1 79 173 76 173
34 0 52 164 52 161
35 0 68 169 63 170
36 1 64 176 65 175
37 0 56 166 54 165
38 1 69 174 69 171
39 1 88 178 86 175
40 1 65 187 67 188
41 0 54 164 53 160
42 1 80 178 80 178
43 0 63 163 59 159
44 1 78 183 80 180
45 1 85 179 82 175
46 0 54 160 55 158
47 1 73 180 -1 -1
48 0 49 161 -1 -1
49 0 54 174 56 173
50 0 75 162 75 158
51 1 82 182 85 183
52 0 56 165 57 163
53 1 74 169 73 170
54 1 102 185 107 185
55 1 64 177 -1 -1
56 1 65 176 64 172
57 0 66 170 65 -1
58 1 73 183 74 180
59 1 75 172 70 169
60 1 57 173 58 170
61 1 68 165 69 165
62 1 71 177 71 170
63 1 71 180 76 175
64 0 78 173 75 169
65 1 97 189 98 185
66 0 60 162 59 160
67 0 64 165 63 163
68 0 64 164 62 161
69 0 52 158 51 155
70 1 80 178 76 175
71 0 62 175 61 171
72 1 66 173 66 175
73 0 55 165 54 163
74 0 56 163 57 159
75 0 50 166 50 161
76 0 50 171 -1 -1
77 0 50 160 55 150
78 0 63 160 64 158
79 1 69 182 70 180
80 1 69 183 70 183
81 0 61 165 60 163
82 1 55 168 56 170
83 0 53 169 52 175
84 0 60 167 55 163
85 0 56 170 56 170
86 1 59 182 61 183
87 1 62 178 66 175
88 0 53 165 53 165
89 0 57 163 59 160
90 0 57 162 56 160
91 1 70 173 68 170
92 0 56 161 56 161
93 1 84 184 86 183
94 1 69 180 71 180
95 1 88 189 87 185
96 0 56 165 57 160
97 1 103 185 101 182
98 0 50 169 50 165
99 0 52 159 52 153
100 0 55 155 -1 154
101 0 55 164 55 163
102 1 63 178 63 175
103 0 47 163 47 160
104 0 45 163 45 160
105 0 62 175 63 173
106 0 53 164 51 160
107 0 52 152 51 150
108 0 57 167 55 164
109 0 64 166 64 165
110 0 59 166 55 163
111 1 84 183 90 183
112 1 79 179 79 171
113 0 55 174 57 171
114 1 67 179 67 179
115 0 76 167 77 165
116 0 62 168 62 163
117 1 83 184 83 181
118 1 96 184 94 183
119 1 75 169 76 165
120 1 65 178 66 178
121 1 78 178 77 175
122 1 69 167 73 165
123 0 68 178 68 175
124 0 55 165 55 163
125 1 67 179 -1 -1
126 0 52 169 56 -1
127 0 47 153 -1 154
128 0 45 157 45 153
129 0 68 171 68 169
130 0 44 157 44 155
131 0 62 166 61 163
132 1 87 185 89 185
133 0 56 160 53 158
134 0 50 148 47 148
135 1 83 177 84 175
136 0 53 162 53 160
137 0 64 172 62 168
138 0 62 167 -1 -1
139 1 90 188 91 185
140 1 85 191 83 188
141 1 66 175 68 175
142 0 52 163 53 160
143 0 53 165 55 163
144 0 54 176 55 176
145 0 64 171 66 171
146 0 55 160 55 155
147 0 55 165 55 165
148 0 59 157 55 158
149 0 70 173 67 170
150 1 88 184 86 183
151 0 57 168 58 165
152 0 47 162 47 160
153 0 47 150 45 152
154 0 55 162 -1 -1
155 0 48 163 44 160
156 1 54 169 58 165
157 1 69 172 68 174
158 0 59 170 -1 -1
159 0 58 169 -1 -1
160 0 57 167 56 165
161 0 51 163 50 160
162 0 54 161 54 160
163 0 53 162 52 158
164 0 59 172 58 171
165 1 56 163 58 161
166 0 59 159 59 155
167 0 63 170 62 168
168 0 66 166 66 165
169 1 96 191 95 188
170 0 53 158 50 155
171 1 76 169 75 165
172 0 54 163 -1 -1
173 1 61 170 61 170
174 1 82 176 -1 -1
175 1 62 168 64 168
176 1 71 178 68 178
177 0 60 174 -1 -1
178 1 66 170 67 165
179 1 81 178 82 175
180 1 68 174 68 173
181 1 80 176 78 175
182 0 43 154 -1 -1
183 1 82 181 -1 -1
184 0 63 165 59 160
185 1 70 173 70 173
186 0 56 162 56 160
187 0 60 172 55 168
188 0 58 169 54 166
189 1 76 183 75 180
190 0 50 158 49 155
191 1 88 185 93 188
192 1 89 173 86 173
193 0 59 164 59 165
194 0 51 156 51 158
195 0 62 164 61 161
196 1 74 175 71 175
197 1 83 180 80 180
198 1 81 175 -1 -1
199 1 90 181 91 178
200 1 79 177 81 178
